City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-07-21 15:14:04,42.097,-79.2353,77.02,78,100,14.97
1,Quatre Cocos,MU,2022-07-21 15:14:04,-20.2078,57.7625,69.1,70,80,20.67
2,Bethel,US,2022-07-21 15:10:05,41.3712,-73.414,89.69,71,0,5.75
3,West Wendover,US,2022-07-21 15:14:05,40.7391,-114.0733,81.61,32,0,0.0
4,Norman Wells,CA,2022-07-21 15:14:06,65.282,-126.8329,61.66,73,97,4.27
5,Carnarvon,AU,2022-07-21 15:14:06,-24.8667,113.6333,66.99,64,93,15.39
6,Albany,US,2022-07-21 15:11:07,42.6001,-73.9662,88.63,64,5,1.01
7,Rikitea,PF,2022-07-21 15:14:07,-23.1203,-134.9692,74.17,73,4,9.93
8,Talnakh,RU,2022-07-21 15:14:07,69.4865,88.3972,58.21,72,18,8.68
9,Tiksi,RU,2022-07-21 15:14:08,71.6872,128.8694,40.53,84,17,8.43
10,Belyy Yar,RU,2022-07-21 15:14:08,53.6039,91.3903,67.89,56,0,4.47
11,Getulio Vargas,UY,2022-07-21 15:14:09,-32.6796,-53.5494,67.82,91,100,6.35
12,Clyde River,CA,2022-07-21 15:14:09,70.4692,-68.5914,38.57,93,100,4.72
13,Parrita,CR,2022-07-21 15:14:10,9.5201,-84.3225,79.7,81,100,1.74
14,Barrow,US,2022-07-21 15:10:02,71.2906,-156.7887,42.82,81,0,21.85
15,Kavieng,PG,2022-07-21 15:14:10,-2.5744,150.7967,81.27,79,100,9.93
16,Atar,MR,2022-07-21 15:14:11,20.5169,-13.0499,104.59,21,69,11.88
17,Busselton,AU,2022-07-21 15:14:12,-33.65,115.3333,56.79,76,85,11.12
18,San Patricio,US,2022-07-21 15:14:12,28.017,-97.5169,89.49,51,1,14.32
19,Port Alfred,ZA,2022-07-21 15:14:13,-33.5906,26.891,61.18,75,0,1.99
20,Pevek,RU,2022-07-21 15:14:13,69.7008,170.3133,31.78,99,100,8.66
21,Omboue,GA,2022-07-21 15:14:14,-1.5746,9.2618,77.72,71,81,11.3
22,Gurupa,BR,2022-07-21 15:14:14,-1.405,-51.64,89.02,55,50,2.3
23,Butaritari,KI,2022-07-21 15:14:15,3.0707,172.7902,79.79,77,98,5.01
24,Leningradskiy,RU,2022-07-21 15:14:15,69.3833,178.4167,33.21,98,100,14.03
25,Nanortalik,GL,2022-07-21 15:14:16,60.1432,-45.2371,52.03,75,8,14.14
26,Maltrata,MX,2022-07-21 15:14:16,18.8,-97.2667,70.47,28,59,4.68
27,Batagay,RU,2022-07-21 15:14:17,67.6333,134.6333,53.04,73,100,1.83
28,Atuona,PF,2022-07-21 15:14:17,-9.8,-139.0333,77.04,75,12,15.19
29,Saldanha,ZA,2022-07-21 15:12:49,-33.0117,17.9442,56.88,66,17,9.91
30,Kodiak,US,2022-07-21 15:14:18,57.79,-152.4072,51.31,87,100,0.0
31,Vaini,TO,2022-07-21 15:14:18,-21.2,-175.2,74.1,75,4,9.35
32,Biak,ID,2022-07-21 15:14:19,-0.9131,122.8766,75.72,86,28,6.42
33,Mataura,NZ,2022-07-21 15:14:19,-46.1927,168.8643,41.49,94,100,2.06
34,Huarmey,PE,2022-07-21 15:14:20,-10.0681,-78.1522,64.76,77,77,8.43
35,Punta Arenas,CL,2022-07-21 15:13:25,-53.15,-70.9167,33.91,86,20,17.27
36,Tanout,NE,2022-07-21 15:14:20,14.9709,8.8879,91.99,31,86,1.59
37,Salalah,OM,2022-07-21 15:14:21,17.0151,54.0924,77.09,94,100,8.05
38,Ushuaia,AR,2022-07-21 15:14:21,-54.8,-68.3,29.86,86,100,16.11
39,Ahipara,NZ,2022-07-21 15:14:22,-35.1667,173.1667,55.44,80,97,10.25
40,New Norfolk,AU,2022-07-21 15:14:23,-42.7826,147.0587,39.9,82,0,3.0
41,Sikasso,ML,2022-07-21 15:14:23,10.9167,-7.0,82.2,69,91,7.2
42,Lebu,CL,2022-07-21 15:14:24,-37.6167,-73.65,50.97,87,86,1.01
43,Mahebourg,MU,2022-07-21 15:11:25,-20.4081,57.7,69.26,69,73,21.03
44,Kapuskasing,CA,2022-07-21 15:12:37,49.4169,-82.4331,59.09,100,100,13.8
45,Torrevieja,ES,2022-07-21 15:14:27,37.9787,-0.6822,97.41,69,0,5.99
46,Farrukhnagar,IN,2022-07-21 15:15:25,17.0778,78.2011,80.31,80,100,5.61
47,Seoul,KR,2022-07-21 15:10:48,37.5683,126.9778,74.64,86,34,1.07
48,Fez,MA,2022-07-21 15:15:03,34.0372,-4.9998,102.45,12,40,23.02
49,Assiniboia,CA,2022-07-21 15:10:58,49.6334,-105.9845,69.1,49,65,7.4
50,Hamilton,US,2022-07-21 15:10:37,39.1834,-84.5333,85.15,72,20,11.5
51,Aklavik,CA,2022-07-21 15:15:26,68.2191,-135.0107,55.4,94,100,0.0
52,Tuktoyaktuk,CA,2022-07-21 15:15:27,69.4541,-133.0374,51.8,93,100,6.91
53,Korla,CN,2022-07-21 15:15:27,41.7597,86.1469,82.67,25,0,5.64
54,Camacha,PT,2022-07-21 15:15:27,33.0833,-16.3333,69.22,68,75,18.41
55,Alice Springs,AU,2022-07-21 15:15:28,-23.7,133.8833,40.55,56,0,3.44
56,Torbay,CA,2022-07-21 15:14:01,47.6666,-52.7314,71.28,72,94,16.44
57,Alyangula,AU,2022-07-21 15:15:28,-13.8483,136.4192,66.43,67,46,10.29
58,Kloulklubed,PW,2022-07-21 15:15:29,7.0419,134.2556,75.7,74,100,0.18
59,Pisco,PE,2022-07-21 15:11:39,-13.7,-76.2167,62.02,77,100,4.61
60,Caravelas,BR,2022-07-21 15:15:30,-17.7125,-39.2481,78.31,62,1,8.9
61,Umm Lajj,SA,2022-07-21 15:15:30,25.0213,37.2685,88.0,58,3,15.08
62,Te Anau,NZ,2022-07-21 15:15:31,-45.4167,167.7167,34.23,93,45,2.01
63,Puerto Ayora,EC,2022-07-21 15:15:32,-0.7393,-90.3518,73.36,92,86,7.0
64,Geraldton,AU,2022-07-21 15:15:32,-28.7667,114.6,55.81,82,55,8.05
65,Kruisfontein,ZA,2022-07-21 15:15:33,-34.0033,24.7314,57.88,70,0,7.09
66,Port Hardy,CA,2022-07-21 15:15:33,50.6996,-127.4199,53.78,94,100,3.44
67,Souillac,MU,2022-07-21 15:14:20,-20.5167,57.5167,69.71,69,47,17.9
68,Biga,TR,2022-07-21 15:15:34,40.2281,27.2422,90.05,26,0,16.8
69,Port Blair,IN,2022-07-21 15:15:34,11.6667,92.75,80.76,86,100,11.97
70,Udachnyy,RU,2022-07-21 15:15:35,66.4167,112.4,50.45,93,100,1.68
